rsi_length,rsi_overbought,rsi_oversold,sl_multiplier,tp_multiplier,total_pnl,max_drawdown,total_trades,profitable_trades,profitable_pct,profit_factor,final_equity
2,60.0,40.0,0.1,1.0,-9.0259,9.03,24,2,8.33,0.0627,90.97
2,60.0,40.0,0.1,1.1,-12.3984,12.4,31,5,16.13,0.0642,87.6
2,60.0,40.0,0.1,1.2,-14.6102,14.61,38,5,13.16,0.0746,85.39
2,60.0,40.0,0.1,1.3,-16.5947,16.59,44,5,11.36,0.0831,83.41
2,60.0,40.0,0.1,1.4,-17.3068,17.31,45,8,17.78,0.0898,82.69
2,60.0,40.0,0.1,1.5,-21.5456,21.55,55,8,14.55,0.0905,78.45
2,60.0,40.0,0.1,1.6,-24.7057,24.71,64,11,17.19,0.0968,75.29
2,60.0,40.0,0.1,1.7,-29.7532,29.77,74,11,14.86,0.0881,70.25
2,60.0,40.0,0.1,1.8,-34.3043,34.36,84,13,15.48,0.0907,65.7
2,60.0,40.0,0.1,1.9,-34.6558,34.74,86,13,15.12,0.1037,65.34
2,60.0,40.0,0.1,2.0,-39.4117,39.53,97,14,14.43,0.1048,60.59
2,60.0,40.0,0.1,2.1,-42.0492,42.07,104,15,14.42,0.0993,57.95
2,60.0,40.0,0.1,2.2,-44.3163,44.39,111,16,14.41,0.106,55.68
2,60.0,40.0,0.1,2.3,-46.6858,46.81,119,17,14.29,0.1121,53.31
2,60.0,40.0,0.1,2.4,-48.4264,48.61,126,19,15.08,0.1196,51.57
2,60.0,40.0,0.1,2.5,-52.1406,52.38,132,18,13.64,0.1194,47.86
2,60.0,40.0,0.2,1.0,-10.5933,10.59,24,1,4.17,0.0527,89.41
2,60.0,40.0,0.2,1.1,-13.5348,13.53,31,5,16.13,0.0591,86.47
2,60.0,40.0,0.2,1.2,-15.8871,15.89,38,5,13.16,0.069,84.11
2,60.0,40.0,0.2,1.3,-17.997,18.0,44,5,11.36,0.0771,82.0
2,60.0,40.0,0.2,1.4,-17.9611,17.96,45,9,20.0,0.096,82.04
2,60.0,40.0,0.2,1.5,-22.3687,22.37,55,9,16.36,0.0968,77.63
